Id,Roll,Description,Created at,Updated at
59,1...5,"Совершайте бросок по этой таблице в начале каждого своего хода в течение следующей минуты, игнорируя результат «01–04».",2024-09-24 15:33:22 UTC,2024-09-24 15:33:22 UTC
60,5...9,"Дружественно настроенное к вам существо появляется в случайном незанятом месте в пределах 60 футов от вас. Существо под контролем Мастера и исчезает 1 минуту спустя. Бросьте 1к4, чтобы определить существо:
1. Модрон Дуодрон;
2. Фламф;
3. Модрон Монодрон;
4. Единорог.
Используйте Бестиарий для статблоков существ.",2024-09-24 15:33:22 UTC,2024-09-24 15:40:50 UTC
61,9...13,В течение следующей минуты вы восстанавливаете по 5 хитов в начале каждого своего хода.,2024-09-24 15:33:22 UTC,2024-09-24 15:33:22 UTC
62,13...17,"Существа получают помеху к спасброскам от следующего заклинания, требующего совершить спасбросок, которое вы сотворите в течение минуты.",2024-09-24 15:33:22 UTC,2024-09-24 15:41:18 UTC
63,17...21,"Вы подвергаетесь эффекту, который длится в течение 1 минуты, если в описании не указано иначе. Бросьте 1к8 для определения эффекта:
1. вы окружены тихой неземной музыкой, которую можете слышать только вы и существа в радиусе 5 футов от вас;
2. ваш размер увеличивается на одну категорию;
3. вы отращиваете длинную бороду из перьев, которая остаётся до момента, пока вы не чихнёте, после чего перья разлетаются с вашего лица и исчезают;
4. вы должны кричать, когда говорите;
5. иллюзорные бабочки порхают в воздухе в пределах 10 футов от вас;
6. глаз появляется на вашем лбу, даруя вам преимущество на проверки Мудрости (Внимательность);
7. розовые пузыри вылетают из вашего рта, когда вы говорите;
8. ваша кожа приобретает яркий оттенок синего на 24 часа или пока эффект не будет окончен заклинанием Снятие проклятья.",2024-09-24 15:33:22 UTC,2024-09-24 15:41:55 UTC
64,21...25,В течение следующей минуты все ваши заклинания со временем накладывания «1 действие» накладываются бонусным действием.,2024-09-24 15:33:22 UTC,2024-09-24 15:43:08 UTC
65,25...29,"Вы перемещаетесь на Астральный план до конца своего следующего хода, после чего вы вернётесь в пространство, ранее занимаемое, или ближайшее свободное пространство, если это пространство занято.",2024-09-24 15:33:22 UTC,2024-09-24 15:43:22 UTC
66,29...33,"В течение минуты следующее наложение заклинания, наносящего урон, не использует бросок костей. Вместо этого используйте максимально возможное число для каждой кости урона.",2024-09-24 15:33:22 UTC,2024-09-24 15:43:38 UTC
67,33...37,Вы получаете сопротивление ко всему урону в течение следующей минуты.,2024-09-24 15:33:22 UTC,2024-09-24 15:43:51 UTC
68,37...41,"Вы превращаетесь в горшок с цветами до начала своего следующего хода. Будучи растением, вы получаете состояние недееспособный и уязвимость ко всеми типам уронам. Если ваши хиты опускаются до 0, то ваш горшок раскалывается и вы возвращаетесь в свою форму.",2024-09-24 15:33:22 UTC,2024-09-24 15:44:10 UTC
69,41...45,В течение следующей минуты вы можете в каждый свой ход бонусным действием телепортироваться на расстояние до 20 футов.,2024-09-24 15:33:22 UTC,2024-09-24 15:44:23 UTC
70,45...49,"Вы и до трёх существ на ваш выбор в пределах 30 футов от вас получают состояние невидимый на 1 минуту. Состояние прекращается, если существо совершает бросок атаки, наносит урон или накладывает заклинание.",2024-09-24 15:33:22 UTC,2024-09-24 15:44:39 UTC
71,49...53,"В течение следующей минуты рядом с вами парит призрачный щит, предоставляющий бонус +2 к КД и иммунитет к заклинанию Волшебная стрела.",2024-09-24 15:33:22 UTC,2024-09-24 15:44:55 UTC
72,53...57,Вы можете совершить одно дополнительное действие в этом ходу.,2024-09-24 15:33:22 UTC,2024-09-24 15:45:09 UTC
73,57...61,"Вы накладываете случайное заклинание. Если заклинание обычно требует концентрации, то в данном случае - нет; заклинание длится всю свою длительность. Бросьте 1к10 для определения заклинания:
1. Смятение;
2. Огненный шар;
3. Туманное облако;
4. Полёт (накладывается на случайное существо в радиусе 60 футов от вас);
5. Скольжение;
6. Левитация (накладывается на себя);
7. Волшебная стрела (накладывается как заклинание 5 уровня);
8. Отражения;
9. Превращение (накладывается на себя), и если вы провалили спасбросок, то обращаетесь в Козла (см. приложение Б);
10.Видение невидимого.",2024-09-24 15:33:22 UTC,2024-09-24 15:45:49 UTC
74,61...65,"В течение следующей минуты все легковоспламеняющиеся немагические предметы, не несомые и не носимые другим существом, которых вы касаетесь, получают 1к4 урона огнём и загораются.",2024-09-24 15:33:22 UTC,2024-09-24 15:46:32 UTC
75,65...69,"Если вы погибнете в течение следующего часа, то мгновенно вернётесь к жизни, как если бы вас воскресили заклинанием Возрождение.",2024-09-24 15:33:22 UTC,2024-09-24 15:46:45 UTC
76,69...73,Вы получаете состояние испуганный до конца своего следующего хода. Мастер определяет источник вашего страха.,2024-09-24 15:33:22 UTC,2024-09-24 15:46:57 UTC
77,73...77,"Вы телепортируетесь на расстояние до 60 футов в свободное пространство, которое видите.",2024-09-24 15:33:22 UTC,2024-09-24 15:47:09 UTC
78,77...81,Случайное существо в пределах 60 футов от вас получает состояние отравленный на 1к4 часа.,2024-09-24 15:33:22 UTC,2024-09-24 15:47:25 UTC
79,81...85,"Вы в течение минуты излучаете яркий свет в радиусе 30 футов. Все существа, оканчивающие ход в пределах 5 футов от вас получают состояние ослеплённый до конца своего следующего хода.",2024-09-24 15:33:22 UTC,2024-09-24 15:49:41 UTC
80,85...89,"До трёх существ по вашему выбору, которых вы можете видеть в пределах 30 футов от вас, получают 1к10 урона некротической энергией. Вы восстанавливаете хиты, равные сумме нанесённого урона.",2024-09-24 15:33:22 UTC,2024-09-24 15:49:54 UTC
81,89...93,"До трёх существ на ваш выбор, которых вы можете видеть в пределах 30 футов от вас, получают 4к10 урона электричеством.",2024-09-24 15:33:22 UTC,2024-09-24 15:50:09 UTC
82,93...97,Вы и все существа в пределах 30 футов от вас получаете на 1 минуту уязвимость к колющему урону.,2024-09-24 15:33:22 UTC,2024-09-24 15:50:26 UTC
83,97...101,"Бросьте 1к6:
1. Вы восстанавливаете 2к10 хитов.
2. Один союзник по вашему выбору в пределах 300 футов восстанавливает 2к10 хитов.
3. Вы восстанавливаете самую низкоуровневую потраченную ячейку заклинания.
4. Один союзник по вашему выбору в пределах 300 футов восстанавливает самую низкоуровневую потраченную ячейку заклинания.
5. Вы восстанавливаете все потраченные единицы чародейства.
6. Все эффекты строки «17-20» воздействуют на вас одновременно.",2024-09-24 15:33:22 UTC,2024-09-24 15:51:13 UTC
